pathogen,checkpoint,model size,mode,loss,grad_norm,learning_rate,epoch,step
Legionellales,esm2_t30_150M_UR50D,150M,LoRA,0.4996772434400475,4.856847286224365,1.0869565217391303e-06,3.0,276
Legionellales,esm2_t33_650M_UR50D,650M,LoRA,0.6062445018602454,1.8410269021987915,0.0002010869565217,1.0,92
Legionellales,esm2_t33_650M_UR50D,650M,LoRA,0.5015993118286133,5.571681499481201,0.0001010869565217,2.0,184
Legionellales,esm2_t33_650M_UR50D,650M,LoRA,0.4121439560599949,6.500060081481934,1.0869565217391303e-06,3.0,276
Legionellales,esm2_t12_35M_UR50D,35M,LoRA,0.6426854755567468,1.8617167472839355,0.0002010869565217,1.0,92
Legionellales,esm2_t12_35M_UR50D,35M,LoRA,0.5634527621061906,4.652650833129883,0.0001010869565217,2.0,184
Legionellales,esm2_t12_35M_UR50D,35M,LoRA,0.5227042488429857,4.635793685913086,1.0869565217391303e-06,3.0,276
Legionellales,esm2_t6_8M_UR50D,8M,LoRA,0.6521875961967136,1.993140697479248,0.0002010869565217,1.0,92
Legionellales,esm2_t6_8M_UR50D,8M,LoRA,0.5611629071442977,5.732454299926758,0.0001010869565217,2.0,184
Legionellales,esm2_t6_8M_UR50D,8M,LoRA,0.5231798006140668,5.181240081787109,1.0869565217391303e-06,3.0,276
Legionellales,esm2_t30_150M_UR50D,150M,full,0.6664150486821714,4.97376012802124,0.0002010869565217,1.0,92
Legionellales,esm2_t30_150M_UR50D,150M,full,0.6797397447668988,4.548047065734863,0.0001010869565217,2.0,184
Legionellales,esm2_t30_150M_UR50D,150M,full,0.6569056303604789,2.8375446796417236,1.0869565217391303e-06,3.0,276
Legionellales,esm2_t33_650M_UR50D,650M,full,0.6749622925468113,4.212437629699707,0.0002010869565217,1.0,92
Legionellales,esm2_t33_650M_UR50D,650M,full,0.6818823192430579,6.35902214050293,0.0001010869565217,2.0,184
Legionellales,esm2_t33_650M_UR50D,650M,full,0.6481021383534307,3.3704333305358887,1.0869565217391303e-06,3.0,276
Yersinia pestis,esm2_t6_8M_UR50D,8M,full,0.6792507934570312,2.646598100662231,0.000201,1.0,100
Yersinia pestis,esm2_t6_8M_UR50D,8M,full,0.6195848846435547,4.060389041900635,0.0001009999999999,2.0,200
Yersinia pestis,esm2_t6_8M_UR50D,8M,full,0.5634963607788086,1.4876139163970947,1e-06,3.0,300
Yersinia pestis,esm2_t12_35M_UR50D,35M,full,0.6681238555908203,2.6061081886291504,0.000201,1.0,100
Yersinia pestis,esm2_t12_35M_UR50D,35M,full,0.6103279495239258,2.1128642559051514,0.0001009999999999,2.0,200
Yersinia pestis,esm2_t12_35M_UR50D,35M,full,0.5604557418823242,1.5096458196640017,1e-06,3.0,300
Yersinia pestis,esm2_t30_150M_UR50D,150M,LoRA,0.6266272354125977,2.3405017852783203,0.000201,1.0,100
Yersinia pestis,esm2_t30_150M_UR50D,150M,LoRA,0.5622596740722656,2.5850372314453125,0.0001009999999999,2.0,200
Yersinia pestis,esm2_t30_150M_UR50D,150M,LoRA,0.5157930755615234,0.73018878698349,1e-06,3.0,300
Yersinia pestis,esm2_t33_650M_UR50D,650M,LoRA,0.6045515441894531,3.1190736293792725,0.000201,1.0,100
Yersinia pestis,esm2_t33_650M_UR50D,650M,LoRA,0.5104594802856446,2.721980094909668,0.0001009999999999,2.0,200
Yersinia pestis,esm2_t33_650M_UR50D,650M,LoRA,0.4503186416625976,1.0962880849838257,1e-06,3.0,300
Yersinia pestis,esm2_t12_35M_UR50D,35M,LoRA,0.6397027587890625,1.887086033821106,0.000201,1.0,100
Yersinia pestis,esm2_t12_35M_UR50D,35M,LoRA,0.5753755187988281,2.735221147537231,0.0001009999999999,2.0,200
Yersinia pestis,esm2_t12_35M_UR50D,35M,LoRA,0.5428701400756836,0.9204272031784058,1e-06,3.0,300
Yersinia pestis,esm2_t6_8M_UR50D,8M,LoRA,0.6509440612792968,2.1069822311401367,0.000201,1.0,100
Yersinia pestis,esm2_t6_8M_UR50D,8M,LoRA,0.582026481628418,2.5156407356262207,0.0001009999999999,2.0,200
Yersinia pestis,esm2_t6_8M_UR50D,8M,LoRA,0.551414566040039,0.6832294464111328,1e-06,3.0,300
Yersinia pestis,esm2_t30_150M_UR50D,150M,full,0.6799851989746094,3.878766059875488,0.000201,1.0,100
Yersinia pestis,esm2_t30_150M_UR50D,150M,full,0.6678902435302735,2.3186497688293457,0.0001009999999999,2.0,200
Yersinia pestis,esm2_t30_150M_UR50D,150M,full,0.628197250366211,0.7722594141960144,1e-06,3.0,300
Yersinia pestis,esm2_t33_650M_UR50D,650M,full,0.7644864654541016,5.63295316696167,0.000201,1.0,100
Yersinia pestis,esm2_t33_650M_UR50D,650M,full,0.645093994140625,4.846827983856201,0.0001009999999999,2.0,200
Yersinia pestis,esm2_t33_650M_UR50D,650M,full,0.6335204315185546,2.2213120460510254,1e-06,3.0,300
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,full,0.6839141112107497,0.2137461751699447,0.0002009615384615,1.0,104
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,full,0.6348403050349309,2.1978096961975098,0.0001009615384615,2.0,208
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,full,0.5754530980036809,0.6632370352745056,9.615384615384617e-07,3.0,312
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,full,0.6698198318481445,3.889275789260864,0.0002009615384615,1.0,104
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,full,0.6432222219613882,3.110788583755493,0.0001009615384615,2.0,208
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,full,0.5839073841388409,0.9845508933067322,9.615384615384617e-07,3.0,312
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,LoRA,0.6370429259080154,1.51585853099823,0.0002009615384615,1.0,104
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,LoRA,0.5681255047137921,1.6525611877441406,0.0001009615384615,2.0,208
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,LoRA,0.5239647718576285,1.602019429206848,9.615384615384617e-07,3.0,312
Campylobacter jejuni,esm2_t33_650M_UR50D,650M,LoRA,0.6217018274160532,1.602947473526001,0.0002009615384615,1.0,104
Campylobacter jejuni,esm2_t33_650M_UR50D,650M,LoRA,0.5243490659273587,1.6919448375701904,0.0001009615384615,2.0,208
Campylobacter jejuni,esm2_t33_650M_UR50D,650M,LoRA,0.4613694777855506,0.8959925174713135,9.615384615384617e-07,3.0,312
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,LoRA,0.6558352983914889,2.0904507637023926,0.0002009615384615,1.0,104
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,LoRA,0.5735865739675668,1.262281060218811,0.0001009615384615,2.0,208
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,LoRA,0.534205436706543,1.2901018857955933,9.615384615384617e-07,3.0,312
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,LoRA,0.6718072891235352,1.2892248630523682,0.0002009615384615,1.0,104
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,LoRA,0.5836623631990873,1.6115970611572266,0.0001009615384615,2.0,208
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,LoRA,0.5515094537001389,1.4483880996704102,9.615384615384617e-07,3.0,312
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,full,0.6898322472205529,2.047325134277344,0.0002009615384615,1.0,104
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,full,0.6598983911367563,3.713862419128418,0.0001009615384615,2.0,208
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,full,0.6526865592369666,4.487919807434082,9.615384615384617e-07,3.0,312
Campylobacter jejuni,esm2_t33_650M_UR50D,650M,full,0.6780882615309495,1.9158198833465576,0.0002009615384615,1.0,104
Campylobacter jejuni,esm2_t33_650M_UR50D,650M,full,0.6760969161987305,3.611976146697998,0.0001009615384615,2.0,208
Campylobacter jejuni,esm2_t33_650M_UR50D,650M,full,0.661096792954665,3.26648473739624,9.615384615384617e-07,3.0,312
Dengue virus,esm2_t6_8M_UR50D,8M,full,0.6760031382242838,1.732846975326538,0.0002027777777777,1.0,36
Dengue virus,esm2_t6_8M_UR50D,8M,full,0.6147177484300401,2.366128921508789,0.0001027777777777,2.0,72
Dengue virus,esm2_t6_8M_UR50D,8M,full,0.5646282302008735,1.4370571374893188,2.7777777777777775e-06,3.0,108
Dengue virus,esm2_t12_35M_UR50D,35M,full,0.7179233762953017,1.915546178817749,0.0002027777777777,1.0,36
Dengue virus,esm2_t12_35M_UR50D,35M,full,0.669688860575358,1.924442768096924,0.0001027777777777,2.0,72
Dengue virus,esm2_t12_35M_UR50D,35M,full,0.5851341353522407,1.2475777864456177,2.7777777777777775e-06,3.0,108
Dengue virus,esm2_t30_150M_UR50D,150M,LoRA,0.6952117813958062,1.9359451532363892,0.0002027777777777,1.0,36
Dengue virus,esm2_t30_150M_UR50D,150M,LoRA,0.6626627710130479,1.8460536003112793,0.0001027777777777,2.0,72
Dengue virus,esm2_t30_150M_UR50D,150M,LoRA,0.6433238453335233,0.6581239700317383,2.7777777777777775e-06,3.0,108
Dengue virus,esm2_t33_650M_UR50D,650M,LoRA,0.695298883650038,2.919675350189209,0.0002027777777777,1.0,36
Dengue virus,esm2_t33_650M_UR50D,650M,LoRA,0.6426624721950955,2.2874560356140137,0.0001027777777777,2.0,72
Dengue virus,esm2_t33_650M_UR50D,650M,LoRA,0.6125986840989854,1.1531001329421997,2.7777777777777775e-06,3.0,108
Dengue virus,esm2_t12_35M_UR50D,35M,LoRA,0.6920214229159884,2.2160675525665283,0.0002027777777777,1.0,36
Dengue virus,esm2_t12_35M_UR50D,35M,LoRA,0.6727042728000217,1.8725028038024905,0.0001027777777777,2.0,72
Dengue virus,esm2_t12_35M_UR50D,35M,LoRA,0.6576596366034614,0.8464488387107849,2.7777777777777775e-06,3.0,108
Dengue virus,esm2_t6_8M_UR50D,8M,LoRA,0.6919068230523003,1.897766351699829,0.0002027777777777,1.0,36
Dengue virus,esm2_t6_8M_UR50D,8M,LoRA,0.6785210503472222,1.782926082611084,0.0001027777777777,2.0,72
Dengue virus,esm2_t6_8M_UR50D,8M,LoRA,0.6693106757269965,0.6914389133453369,2.7777777777777775e-06,3.0,108
Dengue virus,esm2_t30_150M_UR50D,150M,full,0.6987372504340278,1.2041916847229004,0.0002027777777777,1.0,36
Dengue virus,esm2_t30_150M_UR50D,150M,full,0.6223645740085177,1.8344961404800415,0.0001027777777777,2.0,72
Dengue virus,esm2_t30_150M_UR50D,150M,full,0.5669914351569282,0.7151196599006653,2.7777777777777775e-06,3.0,108
Dengue virus,esm2_t33_650M_UR50D,650M,full,0.729737917582194,1.623607873916626,0.0002027777777777,1.0,36
Dengue virus,esm2_t33_650M_UR50D,650M,full,0.6453843116760254,1.3381532430648804,0.0001027777777777,2.0,72
Dengue virus,esm2_t33_650M_UR50D,650M,full,0.6145732667711046,1.826301097869873,2.7777777777777775e-06,3.0,108
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,full,0.657528518536769,4.213636875152588,0.0002009174311926,1.0,109
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,full,0.6221116792171373,3.474626064300537,0.0001009174311926,2.0,218
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,full,0.5863039209208357,0.6202490925788879,9.174311926605505e-07,3.0,327
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,full,0.6641874400847548,2.2805283069610596,0.0002009174311926,1.0,109
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,full,0.6770660680368406,1.4429419040679932,0.0001009174311926,2.0,218
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,full,0.5974510262865539,0.8396124839782715,9.174311926605505e-07,3.0,327
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,LoRA,0.6483506368934562,2.370650053024292,0.0002009174311926,1.0,109
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,LoRA,0.5873436884048882,0.9697177410125732,0.0001009174311926,2.0,218
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,LoRA,0.545370049432877,0.783636212348938,9.174311926605505e-07,3.0,327
Mycoplasmoidaceae,esm2_t33_650M_UR50D,650M,LoRA,0.6309705961734877,3.3753223419189453,0.0002009174311926,1.0,109
Mycoplasmoidaceae,esm2_t33_650M_UR50D,650M,LoRA,0.552455937096832,1.2431615591049194,0.0001009174311926,2.0,218
Mycoplasmoidaceae,esm2_t33_650M_UR50D,650M,LoRA,0.4655296605661375,0.7347361445426941,9.174311926605505e-07,3.0,327
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,LoRA,0.6653783955705275,2.4910025596618652,0.0002009174311926,1.0,109
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,LoRA,0.5967339331950616,1.1506739854812622,0.0001009174311926,2.0,218
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,LoRA,0.5630537960507455,0.874519944190979,9.174311926605505e-07,3.0,327
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,LoRA,0.6748220461224197,2.1106162071228027,0.0002009174311926,1.0,109
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,LoRA,0.5953936795575903,1.4489481449127195,0.0001009174311926,2.0,218
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,LoRA,0.5799504551318807,1.0077162981033323,9.174311926605505e-07,3.0,327
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,full,0.6712281813315295,4.493771553039551,0.0002009174311926,1.0,109
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,full,0.6776982578662557,1.3763059377670288,0.0001009174311926,2.0,218
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,full,0.6651164763564363,0.2878168523311615,9.174311926605505e-07,3.0,327
Mycoplasmoidaceae,esm2_t33_650M_UR50D,650M,full,0.713024874345972,5.298893928527832,0.0002009174311926,1.0,109
Mycoplasmoidaceae,esm2_t33_650M_UR50D,650M,full,0.7251258640114321,1.837141752243042,0.0001009174311926,2.0,218
Mycoplasmoidaceae,esm2_t33_650M_UR50D,650M,full,0.6736033028418865,6.822131633758545,9.174311926605505e-07,3.0,327
Neisseria gonorrhoeae,esm2_t6_8M_UR50D,8M,full,0.6824085499980662,5.469542026519775,0.0002009900990099,1.0,101
